count	phrase
296	Tarantino-esque
282	Disney-esque
188	Bond-esque
183	Burton-esque
168	Matrix-esque
139	Python-esque
105	Capra-esque
100	Hollywood-esque
91	zombie-esque
87	Kafka-esque
77	opera-esque
76	noir-esque
71	Shatner-esque
70	Dali-esque
69	Fellini-esque
67	picture-esque
60	S-esque
57	documentary-esque
56	Gilliam-esque
54	Zone-esque
52	Hitchcock-esque
52	Frankenstein-esque
50	Rambo-esque
50	Lovecraft-esque
50	Giger-esque
50	Batman-esque
48	Jones-esque
47	Kubrick-esque
47	Allen-esque
45	movie-esque
45	Lolita-esque
45	Flintstone-esque
43	Keaton-esque
42	Turner-esque
42	Jackson-esque
42	Coen-esque
39	Spielberg-esque
39	Park-esque
39	horror-esque
39	Hitler-esque
39	Dante-esque
39	Chan-esque
38	tale-esque
38	Lee-esque
36	Superman-esque
35	Clinton-esque
35	Cinderella-esque
35	Carpenter-esque
35	book-esque
34	Sandler-esque
34	matrix-esque
34	Harry-esque
34	Bruckheimer-esque
33	Lynch-esque
33	Hemingway-esque
33	Brando-esque
32	Madonna-esque
32	Kurosawa-esque
32	Bay-esque
32	Altman-esque
31	Gladiator-esque
31	Corman-esque
30	Terminator-esque
30	Scorcese-esque
30	Romero-esque
29	s-esque
27	Rocky-esque
27	MTV-esque
27	Monroe-esque
27	Eastwood-esque
27	Club-esque
27	Chaplin-esque
27	Buffy-esque
27	Alien-esque
27	007-esque
26	video-esque
26	Lorre-esque
25	Thompson-esque
25	novel-esque
25	Nicholson-esque
24	Peckinpah-esque
24	Norris-esque
24	Harryhausen-esque
24	Goldberg-esque
24	Dean-esque
24	cartoon-esque
24	Arnold-esque
23	York-esque
23	tarantino-esque
23	Nazi-esque
23	Goblin-esque
23	Bergman-esque
23	Asimov-esque
22	King-esque
22	James-esque
22	hero-esque
22	Galactica-esque
22	Dahl-esque
21	Simpsons-esque
21	Runner-esque
21	Juno-esque
21	Hammer-esque
21	Files-esque
21	Chandler-esque
21	Campbell-esque
20	Tarentino-esque
20	Salinger-esque
20	Kaufman-esque
20	Fiction-esque
20	1984-esque
19	Watson-esque
19	Lai-esque
